date,event_kind,seat,ref,tokens,tokens_source,outcome,verdict,archetype
2026-08-18,build,dispatch-ticket,#624,absent,absent,pr-opened,undetermined,UNMEASURED
2026-08-28,build,build-leader,#956,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,build,build-leader,#961,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#967,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#957,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,build,build-leader,#960,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#969,absent,absent,merged,accepted,UNMEASURED
2026-08-28,merge,plugins-marshal,#970,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#963,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#971,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#958,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#972,absent,absent,merged,accepted,UNMEASURED
2026-08-28,merge,plugins-marshal,#975,absent,absent,merged,accepted,UNMEASURED
2026-08-28,merge,plugins-marshal,#966,absent,absent,merged,accepted,UNMEASURED
2026-08-28,merge,plugins-marshal,#976,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#964,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,build,build-leader,#973,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#981,absent,absent,merged,accepted,UNMEASURED
2026-08-28,merge,plugins-marshal,#982,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#974,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,build,build-leader,#977,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#983,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#978,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#984,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#979,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#985,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#980,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#986,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#987,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,build,build-leader,#978,absent,absent,dispatched,undetermined,UNMEASURED
2026-08-28,merge,plugins-marshal,#990,absent,absent,merged,accepted,UNMEASURED
2026-08-28,merge,plugins-marshal,#989,absent,absent,merged,accepted,UNMEASURED
2026-08-28,build,build-leader,#609,absent,absent,dispatched,undetermined,UNMEASURED
