date,plugin,routable_skills,routable_chars,zero_rent_skills,zero_rent_chars,agents,agent_chars,dead,stolen,leaked
2026-08-16,agent-protocols,8,5268,0,0,0,0,absent,absent,absent
2026-08-16,authorkit,11,6327,0,0,1,302,absent,absent,absent
2026-08-16,design,22,14269,0,0,3,2205,absent,absent,absent
2026-08-16,docs,16,8806,2,1009,3,2487,absent,absent,absent
2026-08-16,harness,35,19116,13,5732,11,5870,absent,absent,absent
2026-08-16,llm,9,4984,0,0,0,0,absent,absent,absent
2026-08-16,screens,15,10246,0,0,3,2076,absent,absent,absent
2026-08-16,teamwork,6,3283,7,4906,7,5526,absent,absent,absent
2026-08-16,design,22,14269,0,0,3,2130,absent,absent,absent
2026-08-16,docs,16,8806,2,1009,3,2366,absent,absent,absent
2026-08-16,screens,15,10246,0,0,3,1896,absent,absent,absent
2026-08-16,teamwork,6,3283,7,4906,7,5325,absent,absent,absent
2026-08-16,teamwork,6,3283,7,4906,7,5325,absent,absent,absent
2026-08-16,authorkit,11,6327,0,0,1,302,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6674,7,5325,absent,absent,absent
2026-08-16,docs,16,8846,3,1893,4,4030,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6868,7,5325,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6868,7,5325,absent,absent,absent
2026-08-16,docs,16,8846,3,1893,4,4030,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6913,7,5325,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6913,7,5325,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6917,7,5325,absent,absent,absent
2026-08-16,teamwork,6,3546,9,6917,7,5325,absent,absent,absent
2026-08-16,teamwork,6,3546,10,7805,7,5325,absent,absent,absent
2026-08-16,docs,16,8846,2,1009,4,4030,absent,absent,absent
2026-08-16,harness,35,19116,13,5732,11,5870,absent,absent,absent
